Latitude,Longitude,Elevation
42.45391000,-76.4567100,265.0
42.45394000,-76.4567800,265.0
42.45407000,-76.4562400,266.0
42.45410000,-76.4561700,267.0
42.45413000,-76.4561100,267.0
42.45415000,-76.4560500,268.0
42.45418000,-76.4559800,268.0
42.45421000,-76.4559200,268.0
42.45423000,-76.4558500,268.0
42.45426000,-76.4557900,269.0
42.45429000,-76.4557200,270.0
42.45430000,-76.4556600,270.0
42.45434000,-76.4555700,271.0
42.45437000,-76.4555100,272.0
42.45442000,-76.4554500,273.0
42.45443000,-76.4553800,275.0
42.45446000,-76.4553200,276.0
42.45451000,-76.4552500,276.0
42.45456000,-76.4552300,276.0
42.45461000,-76.4551900,276.0
42.45465000,-76.4551900,275.0
42.45470000,-76.4551900,275.0
42.45475000,-76.4552300,274.0
42.45480000,-76.4552700,273.0
42.45484000,-76.4553200,272.0
42.45489000,-76.4553600,272.0
42.45495000,-76.4554000,271.0
42.45500000,-76.4554500,270.0
42.45505000,-76.4555100,269.0
42.45510000,-76.4555500,269.0
42.45514000,-76.4556000,268.0
42.45519000,-76.4556400,268.0
42.45524000,-76.4556400,268.0
42.45529000,-76.4556400,268.0
42.45533000,-76.4556200,268.0
42.45540000,-76.4555500,268.0
42.45544000,-76.4554700,268.0
42.45546000,-76.4553800,268.0
42.45548000,-76.4553200,268.0
42.45548000,-76.4552300,268.0
42.45548000,-76.4551700,268.0
42.45548000,-76.4551000,268.0
42.45548000,-76.4550400,268.0
42.45548000,-76.4549700,268.0
42.45544000,-76.4548900,268.0
42.45541000,-76.4548000,269.0
42.45540000,-76.4547400,269.0
42.45537000,-76.4546700,269.0
42.45535000,-76.4546100,269.0
42.45533000,-76.4545400,269.0
42.45532000,-76.4544800,270.0
42.45532000,-76.4544200,270.0
42.45532000,-76.4543300,271.0
42.45532000,-76.4542200,271.0
42.45532000,-76.4541600,272.0
42.45532000,-76.4540500,272.0
42.45535000,-76.4539600,272.0
42.45537000,-76.4539000,272.0
42.45538000,-76.4538400,273.0
42.45540000,-76.4537700,273.0
42.45543000,-76.4536900,274.0
42.45544000,-76.4536200,274.0
42.45546000,-76.4535400,274.0
42.45546000,-76.4534700,274.0
42.45546000,-76.4533900,274.0
42.45546000,-76.4533200,274.0
42.45548000,-76.4532600,274.0
42.45548000,-76.4531700,274.0
42.45549000,-76.4531100,274.0
42.45551000,-76.4530200,274.0
42.45552000,-76.4529300,274.0
42.45552000,-76.4528500,274.0
42.45554000,-76.4527800,274.0
42.45554000,-76.4526800,273.0
42.45556000,-76.4526100,273.0
42.45557000,-76.4525300,273.0
42.45557000,-76.4524600,272.0
42.45557000,-76.4524000,272.0
42.45559000,-76.4523800,272.0
42.45560000,-76.4519500,270.0
42.45562000,-76.4518800,270.0
42.45563000,-76.4518200,270.0
42.45565000,-76.4517500,270.0
42.45568000,-76.4516900,270.0
42.45571000,-76.4516300,270.0
42.45575000,-76.4515600,271.0
42.45579000,-76.4515200,271.0
42.45584000,-76.4514500,272.0
42.45589000,-76.4514100,273.0
42.45594000,-76.4513700,273.0
42.45598000,-76.4513000,274.0
42.45600000,-76.4512400,274.0
42.45601000,-76.4511800,275.0
42.45601000,-76.4511100,275.0
42.45603000,-76.4510300,275.0
42.45605000,-76.4509200,275.0
42.45613000,-76.4507700,275.0
42.45617000,-76.4507000,275.0
42.45620000,-76.4506400,275.0
42.45622000,-76.4505500,275.0
42.45624000,-76.4504900,275.0
42.45625000,-76.4504200,275.0
42.45627000,-76.4503400,275.0
42.45628000,-76.4502700,274.0
42.45630000,-76.4502100,274.0
42.45635000,-76.4501500,275.0
42.45639000,-76.4501000,276.0
42.45646000,-76.4501000,278.0
42.45652000,-76.4501000,281.0
42.45658000,-76.4501000,283.0
42.45663000,-76.4501000,285.0
42.45668000,-76.4501000,287.0
42.45673000,-76.4501200,289.0
42.45674000,-76.4501200,290.0
42.45696000,-76.4502500,299.0
42.45703000,-76.4502500,302.0
42.45707000,-76.4502500,304.0
42.45712000,-76.4502500,306.0
42.45717000,-76.4502300,308.0
42.45719000,-76.4501700,309.0
42.45720000,-76.4501000,309.0
42.45722000,-76.4500400,310.0
42.45722000,-76.4499700,310.0
42.45723000,-76.4499100,310.0
42.45728000,-76.4498700,312.0
42.45733000,-76.4498400,314.0
42.45738000,-76.4498400,315.0
42.45742000,-76.4499100,316.0
42.45744000,-76.4499700,316.0
42.45747000,-76.4500600,316.0
42.45753000,-76.4501700,318.0
42.45758000,-76.4501700,319.0
42.45758000,-76.4501000,319.0
42.45758000,-76.4500400,319.0
42.45758000,-76.4499700,319.0
42.45758000,-76.4499100,319.0
42.45758000,-76.4498400,320.0
42.45758000,-76.4497800,320.0
42.45757000,-76.4497200,320.0
42.45755000,-76.4496500,320.0
42.45752000,-76.4495700,320.0
42.45749000,-76.4495000,319.0
42.45747000,-76.4493900,319.0
42.45745000,-76.4493300,319.0
42.45741000,-76.4492700,319.0
42.45738000,-76.4492000,319.0
42.45736000,-76.4491400,318.0
42.45736000,-76.4490700,318.0
42.45734000,-76.4490100,318.0
42.45731000,-76.4489400,317.0
42.45730000,-76.4488800,317.0
42.45726000,-76.4488100,317.0
42.45725000,-76.4487500,316.0
42.45723000,-76.4486900,316.0
42.45723000,-76.4486200,316.0
42.45723000,-76.4485600,316.0
42.45723000,-76.4484500,316.0
42.45723000,-76.4483900,316.0
42.45723000,-76.4483200,315.0
42.45723000,-76.4481700,315.0
42.45723000,-76.4479800,314.0
42.45726000,-76.4478500,313.0
42.45731000,-76.4478100,314.0
42.45736000,-76.4478100,314.0
42.45741000,-76.4478500,315.0
42.45744000,-76.4479100,315.0
42.45745000,-76.4480000,315.0
42.45750000,-76.4480400,316.0
42.45753000,-76.4481100,316.0
42.45758000,-76.4481700,316.0
42.45769000,-76.4483000,317.0
42.45774000,-76.4483600,317.0
42.45779000,-76.4484300,318.0
42.45780000,-76.4484900,318.0
42.45782000,-76.4486200,319.0
42.45782000,-76.4487300,319.0
42.45782000,-76.4489000,320.0
42.45782000,-76.4490700,320.0
42.45782000,-76.4491800,321.0
42.45783000,-76.4492400,321.0
42.45785000,-76.4493100,322.0
42.45787000,-76.4493900,322.0
42.45790000,-76.4494600,323.0
42.45793000,-76.4495200,323.0
42.45798000,-76.4495400,323.0
42.45802000,-76.4495400,323.0
42.45809000,-76.4495700,323.0
42.45821000,-76.4495900,322.0
42.45833000,-76.4496100,322.0
42.45839000,-76.4496100,322.0
42.45844000,-76.4496300,321.0
42.45853000,-76.4497400,321.0
42.45861000,-76.4498700,322.0
42.45864000,-76.4499300,322.0
42.45864000,-76.4500000,322.0
42.45866000,-76.4500600,322.0
42.45866000,-76.4501200,322.0
42.45867000,-76.4501900,322.0
42.45867000,-76.4502500,322.0
42.45869000,-76.4503200,322.0
42.45869000,-76.4504500,322.0
42.45864000,-76.4505700,322.0
42.45861000,-76.4506600,322.0
42.45859000,-76.4507200,321.0
42.45859000,-76.4507900,321.0
42.45859000,-76.4509200,320.0
42.45858000,-76.4511500,317.0
42.45855000,-76.4512400,316.0
42.45853000,-76.4513000,316.0
42.45852000,-76.4513700,315.0
42.45850000,-76.4514300,314.0
42.45850000,-76.4515000,314.0
42.45850000,-76.4515600,313.0
42.45852000,-76.4516300,312.0
42.45856000,-76.4516700,311.0
42.45861000,-76.4516900,309.0
42.45866000,-76.4517100,309.0
42.45871000,-76.4517500,309.0
42.45871000,-76.4518200,309.0
42.45871000,-76.4518800,308.0
42.45871000,-76.4519500,308.0
42.45869000,-76.4520100,308.0
42.45864000,-76.4521200,308.0
42.45858000,-76.4522500,309.0
42.45852000,-76.4523300,311.0
42.45844000,-76.4524200,312.0
42.45836000,-76.4525500,313.0
42.45831000,-76.4526600,312.0
42.45826000,-76.4527800,312.0
42.45825000,-76.4529600,310.0
42.45823000,-76.4531100,310.0
42.45821000,-76.4531700,310.0
42.45821000,-76.4532600,309.0
42.45820000,-76.4534300,309.0
42.45818000,-76.4536000,308.0
42.45815000,-76.4537100,308.0
42.45812000,-76.4538100,309.0
42.45807000,-76.4539400,310.0
42.45806000,-76.4540100,310.0
42.45804000,-76.4540700,309.0
42.45804000,-76.4541400,309.0
42.45804000,-76.4542000,309.0
42.45804000,-76.4542900,308.0
42.45804000,-76.4543700,308.0
42.45802000,-76.4544400,308.0
42.45802000,-76.4545000,308.0
42.45799000,-76.4545700,308.0
42.45796000,-76.4546500,308.0
42.45795000,-76.4547400,308.0
42.45790000,-76.4548000,309.0
42.45785000,-76.4549100,309.0
42.45776000,-76.4554900,313.0
42.45776000,-76.4557000,314.0
42.45776000,-76.4558100,315.0
42.45774000,-76.4559200,315.0
42.45772000,-76.4560000,314.0
42.45771000,-76.4560700,314.0
42.45768000,-76.4561300,314.0
42.45764000,-76.4562000,314.0
42.45763000,-76.4562600,314.0
42.45763000,-76.4563300,314.0
42.45763000,-76.4563900,315.0
42.45761000,-76.4564500,315.0
42.45758000,-76.4565200,315.0
42.45753000,-76.4565800,315.0
42.45747000,-76.4566300,315.0
42.45744000,-76.4566900,315.0
42.45739000,-76.4567100,314.0
42.45734000,-76.4567800,314.0
42.45730000,-76.4568400,314.0
42.45726000,-76.4569300,316.0
42.45725000,-76.4570300,316.0
42.45722000,-76.4571400,317.0
42.45719000,-76.4572300,317.0
42.45714000,-76.4572900,316.0
42.45711000,-76.4573800,315.0
42.45711000,-76.4574400,315.0
42.45711000,-76.4575100,315.0
42.45711000,-76.4575900,314.0
42.45709000,-76.4576600,313.0
42.45707000,-76.4577200,313.0
42.45706000,-76.4577800,312.0
42.45701000,-76.4578700,312.0
42.45696000,-76.4579300,311.0
42.45693000,-76.4580000,311.0
42.45693000,-76.4581100,310.0
42.45693000,-76.4583200,309.0
42.45690000,-76.4585100,308.0
42.45689000,-76.4586000,308.0
42.45687000,-76.4586600,307.0
42.45687000,-76.4587300,307.0
42.45685000,-76.4587900,306.0
42.45684000,-76.4588400,306.0
42.45674000,-76.4592200,303.0
42.45674000,-76.4593300,303.0
42.45674000,-76.4594600,304.0
42.45676000,-76.4595400,304.0
42.45679000,-76.4596100,304.0
42.45681000,-76.4596700,304.0
42.45684000,-76.4597400,304.0
42.45687000,-76.4598400,303.0
42.45690000,-76.4599700,302.0
42.45692000,-76.4601400,300.0
42.45689000,-76.4602500,298.0
42.45685000,-76.4603600,297.0
42.45677000,-76.4604700,296.0
42.45668000,-76.4606000,295.0
42.45658000,-76.4606800,295.0
42.45654000,-76.4607200,295.0
42.45649000,-76.4607700,294.0
42.45644000,-76.4607900,295.0
42.45639000,-76.4607900,295.0
42.45628000,-76.4608100,294.0
42.45617000,-76.4608100,294.0
42.45592000,-76.4607500,291.0
42.45579000,-76.4607000,289.0
42.45568000,-76.4606400,288.0
42.45557000,-76.4605700,288.0
42.45546000,-76.4604900,286.0
42.45541000,-76.4604400,286.0
42.45537000,-76.4604000,285.0
42.45532000,-76.4603600,285.0
42.45527000,-76.4603200,284.0
42.45521000,-76.4602700,283.0
42.45516000,-76.4602500,281.0
42.45489000,-76.4602700,275.0
42.45483000,-76.4602900,273.0
42.45481000,-76.4602900,273.0
42.45459000,-76.4602900,271.0
42.45454000,-76.4602300,272.0
42.45448000,-76.4601900,272.0
42.45443000,-76.4601700,272.0
42.45438000,-76.4601400,272.0
42.45434000,-76.4601000,272.0
42.45429000,-76.4601000,271.0
42.45424000,-76.4600800,270.0
42.45419000,-76.4600600,270.0
42.45415000,-76.4600200,269.0
42.45413000,-76.4599500,269.0
42.45408000,-76.4598900,269.0
42.45407000,-76.4598200,269.0
42.45404000,-76.4597400,269.0
42.45399000,-76.4596100,269.0
42.45389000,-76.4595200,267.0
42.45381000,-76.4594400,266.0
42.45377000,-76.4593700,267.0
42.45375000,-76.4593100,267.0
42.45375000,-76.4592400,267.0
42.45375000,-76.4591800,267.0
42.45377000,-76.4590700,268.0
42.45380000,-76.4589900,269.0
42.45397000,-76.4585600,273.0
42.45397000,-76.4583600,272.0
42.45397000,-76.4581500,270.0
42.45400000,-76.4580400,269.0
42.45404000,-76.4579100,269.0
42.45418000,-76.4577000,272.0
42.45426000,-76.4575900,274.0
42.45430000,-76.4575300,274.0
42.45435000,-76.4574600,275.0
42.45438000,-76.4574000,275.0
42.45443000,-76.4573600,276.0
42.45449000,-76.4572500,274.0
42.45454000,-76.4571200,273.0
42.45462000,-76.4568800,270.0
42.45478000,-76.4566900,270.0
42.45484000,-76.4566500,270.0
42.45489000,-76.4566300,270.0
42.45494000,-76.4565800,270.0
42.45499000,-76.4565200,270.0
42.45500000,-76.4564500,271.0
42.45502000,-76.4563900,271.0
42.45505000,-76.4563000,271.0
42.45508000,-76.4562400,270.0
42.45518000,-76.4560700,270.0
42.45525000,-76.4559400,269.0
42.45529000,-76.4558700,269.0
42.45529000,-76.4558100,269.0
42.45529000,-76.4557500,268.0
42.45527000,-76.4556800,268.0
42.45524000,-76.4556200,268.0
42.45519000,-76.4556000,268.0
42.45516000,-76.4555300,268.0
42.45510000,-76.4554900,269.0
42.45505000,-76.4554500,269.0
42.45500000,-76.4554000,270.0
42.45486000,-76.4552700,273.0
42.45480000,-76.4552100,274.0
42.45475000,-76.4551900,274.0
42.45470000,-76.4551700,275.0
42.45465000,-76.4551900,275.0
42.45462000,-76.4552500,275.0
42.45457000,-76.4553000,275.0
42.45454000,-76.4553600,275.0
42.45449000,-76.4554200,274.0
42.45443000,-76.4555100,272.0
42.45430000,-76.4557200,270.0
42.45424000,-76.4558700,268.0
42.45419000,-76.4560000,268.0
42.45415000,-76.4561100,267.0
42.45411000,-76.4562000,267.0
42.45411000,-76.4562600,266.0
42.45410000,-76.4563300,266.0
42.45408000,-76.4563900,266.0
42.45407000,-76.4564500,266.0
42.45404000,-76.4565200,266.0
42.45400000,-76.4565800,266.0
42.45391000,-76.4567100,265.0
